anyo,fecha_exportacion,evaluacion,alumno,ensenanza,curso,contenido,bloque_contenido,nota_numerica,tipo_nota,observacion,capacidades_inf,medidas_inf,borrar,sobreescribir
2022,19/10/2023 16:11:33,01,163342b903c0b68b3f0043c87693b2b72de9fa0df5d4d0e112b5b1a61f42f718,5,2837625936,0183, ,8,146988244, , , ,N,N
2022,19/10/2023 16:11:33,01,b7d7ad55ec8a71fa3eaeaddf4d8ba78f4498f16e78c4816cb0ae758039e6f833,5,2837625936,0180, ,10,146988216, , , ,N,N
2022,19/10/2023 16:11:33,01,b7d7ad55ec8a71fa3eaeaddf4d8ba78f4498f16e78c4816cb0ae758039e6f833,5,2837625936,CV0004, ,9,146988217, , , ,N,N
2022,19/10/2023 16:11:33,01,b7d7ad55ec8a71fa3eaeaddf4d8ba78f4498f16e78c4816cb0ae758039e6f833,5,2837625936,0175, ,7,360492991, , , ,N,N
2022,19/10/2023 16:11:33,01,b7d7ad55ec8a71fa3eaeaddf4d8ba78f4498f16e78c4816cb0ae758039e6f833,5,2837625936,0178, ,8,146988244, , , ,N,N
2022,19/10/2023 16:11:33,01,b7d7ad55ec8a71fa3eaeaddf4d8ba78f4498f16e78c4816cb0ae758039e6f833,5,2837625936,0176, ,7,360492991, , , ,N,N
2022,19/10/2023 16:11:33,01,b7d7ad55ec8a71fa3eaeaddf4d8ba78f4498f16e78c4816cb0ae758039e6f833,5,2837625936,0183, ,8,146988244, , , ,N,N
2022,19/10/2023 16:11:33,01,ce78aab0eaec9ce878c373f871f8b395f37957e6513e2c586da0a9c93e4979ea,5,2837625936,0180, ,4,146988242, , , ,N,N
2022,19/10/2023 16:11:33,01,ce78aab0eaec9ce878c373f871f8b395f37957e6513e2c586da0a9c93e4979ea,5,2837625936,CV0004, ,8,146988244, , , ,N,N
2022,19/10/2023 16:11:33,01,ce78aab0eaec9ce878c373f871f8b395f37957e6513e2c586da0a9c93e4979ea,5,2837625936,0175, ,8,146988244, , , ,N,N
2022,19/10/2023 16:11:33,01,ce78aab0eaec9ce878c373f871f8b395f37957e6513e2c586da0a9c93e4979ea,5,2837625936,0178, ,10,146988216, , , ,N,N
2022,19/10/2023 16:11:33,01,ce78aab0eaec9ce878c373f871f8b395f37957e6513e2c586da0a9c93e4979ea,5,2837625936,0176, ,7,360492991, , , ,N,N
2022,19/10/2023 16:11:33,01,85476ac6da489e7351242e6491cb9e348f5b736327410438dd3911b284c25df4,5,2837625936,0180, ,9,146988217, , , ,N,N
2022,19/10/2023 16:11:33,01,85476ac6da489e7351242e6491cb9e348f5b736327410438dd3911b284c25df4,5,2837625936,CV0004, ,8,146988244, , , ,N,N
2022,19/10/2023 16:11:33,01,85476ac6da489e7351242e6491cb9e348f5b736327410438dd3911b284c25df4,5,2837625936,0175, ,7,360492991, , , ,N,N
2022,19/10/2023 16:11:33,01,85476ac6da489e7351242e6491cb9e348f5b736327410438dd3911b284c25df4,5,2837625936,0178, ,7,360492991, , , ,N,N
